Drug,Interaction_Text,Risk_Level
artemether,avoid grapefruit products.,High
artemether,take with food. food increases absorption.,Low
betahistine,take with food. this may reduce or prevent gastrointestinal upset.,Low
desvenlafaxine,avoid alcohol.,High
desvenlafaxine,avoid st. john's wort.,High
desvenlafaxine,take with or without food. the absorption is unaffected by food.,Low
dexmethylphenidate,avoid alcohol. alcohol inhibits the metabolism of dexmethylphenidate.,High
dexmethylphenidate,take with or without food.,Low
fesoterodine,take with or without food.,Low
lumefantrine,avoid grapefruit products.,High
lumefantrine,take with food. food increases absorption.,Low
methacholine,take with or without food.,Low
nilvadipine,take with or without food.,Low
fosaprepitant,"exercise caution with grapefruit products. grapefruit inhibits the cyp3a4 metabolism of fosaprepitant, which may increase its serum concentration.",Moderate
fosaprepitant,exercise caution with st. john's wort. this herb induces the cyp3a4 metabolism of fosaprepitant and may reduce its serum concentration.,Moderate
aluminum hydroxide,avoid foods rich in citrate. citrate may increase the absorption of aluminum and has the potential to cause toxicity.,High
calcium carbonate,"take with or without food. food increases the absorption of calcium carbonate, which may be advantageous in its use as a calcium supplement.",Low
aceclofenac,take with or without food.,Low
danaparoid,avoid excessive or chronic alcohol consumption. ingesting alcohol increases the risk of bleeding.,High
danaparoid,"avoid herbs and supplements with anticoagulant/antiplatelet activity. these may increase the risk of bleeding. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
betaine,take with or without food. oral betaine powder should be mixed with food or a beverage and then consumed.,Low
cabazitaxel,"avoid grapefruit products. grapefruit inhibits the cyp3a4 metabolism of cabazitaxel, which may increase its serum concentration.",High
cabazitaxel,avoid st. john's wort. this herb induces the cyp3a4 metabolism of cabazitaxel and may reduce its serum concentration.,High
carglumic acid,take before a meal. take carglumic acid right before eating.,Low
carglumic acid,take with plain water. carglumic acid tablets are dispersed in water to produce an oral suspension and should not be swallowed whole.,Low
dalteparin,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
lanthanum carbonate,take with food.,Low
methenamine,drink plenty of fluids.,Low
methenamine,take with food.,Low
methylnaltrexone,take on an empty stomach. take methylnaltrexone at least 30 minutes before breakfast.,Low
raltegravir,take with or without food.,Low
phenylbutyric acid,take with food. the effect of food on phenylbutyrate’s absorption is unknown.,Low
tinzaparin,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
tiopronin,take at the same time every day. take each dose at the same time every day.,Low
tiopronin,take on an empty stomach. take tiopronin at least 1 hour before or 2 hours after eating food.,Low
triethylenetetramine,avoid concomitant mineral supplements. administer cuvrior at least 1 hour before or 2 hours after administration of other mineral supplements.,High
triethylenetetramine,take at least 2 hours before or after iron supplements. iron and triethylenetetramine inhibit each others absorption.,Low
triethylenetetramine,"take on an empty stomach. take cuvrior one hour before or two hours after eating a meal or at least one hour of separation from other drugs, milk, or food.",Low
gw-813893,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
ferulic acid,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
sulthiame,"take with food. taking sulthiame with food, may reduce gastrointestinal upset.",Low
(r)-warfarin,avoid drastic dietary changes.,High
(r)-warfarin,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
(r)-warfarin,ensure consistent vitamin k intake.,Low
(r)-warfarin,"exercise caution with grapefruit products. grapefruit inhibits cyp3a4 metabolism, which may increase the serum levels of r-warfarin.",Moderate
(r)-warfarin,"exercise caution with st. john's wort. this herb induces cyp3a4 metabolism, which may reduce the serum levels of r-warfarin.",Moderate
ethyl biscoumacetate,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
nadroparin,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
triflusal,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
lurasidone,avoid alcohol. the effects of alcohol could be made worse while taking lurasidone.,High
lurasidone,avoid grapefruit products. grapefruit and grapefruit juice may affect the amount of lurasidone in your blood.,High
lurasidone,take with food. the manufacturer recommends co-administration with at least 350 calories.,Low
ticagrelor,"avoid grapefruit products. grapefruit inhibits the cyp3a4 metabolism of ticagrelor, which may increase its serum concentration.",High
ticagrelor,"avoid herbs and supplements with anticoagulant/antiplatelet activity. herbs with antiplatelet activity may increase the risk of bleeding. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
ticagrelor,avoid st. john's wort. this herb induces the cyp3a4 metabolism of ticagrelor and may reduce its serum concentration.,High
ticagrelor,take with or without food.,Low
ivacaftor,take with a high fat meal. co-administration with a high fat meal increases exposure to ivacaftor.,Low
azilsartan medoxomil,take with or without food. food does not affect the bioavailability.,Low
spinosad,take with or without food.,Low
ioflupane i-123,take with or without food.,Low
deferiprone,take with or without food. food does not affect absorption.,Low
lomitapide,avoid grapefruit products.,High
lomitapide,take with food. food decreases the risk of gi side effects.,Low
vismodegib,take with or without food. food does not affect absorption. the cmax and auc of vismodegib at steady state are not affected by food.,Low
spaglumic acid,take with or without food.,Low
pitavastatin,take with or without food. food does not affect oral absorption or bioavailability.,Low
rilpivirine,avoid st. john's wort. st.john's wort will decrease levels of this medication.,High
rilpivirine,take with food. absorption is increased by 40% if taken with food.,Low
crizotinib,"avoid grapefruit products. grapefruit inhibits cyp3a4 metabolism, which may increase the serum levels of crizotinib.",High
crizotinib,"avoid st. john's wort. this herb induces cyp3a4 metabolism, which may reduce serum levels of crizotinib.",High
crizotinib,"take with or without food. high-fat food decreases drug absorption, but not to a clinically significant extent.",Low
ulipristal,"take with or without food. high-fat food increases drug absorption, but not to a clinically significant extent.",Low
fingolimod,take with or without food.,Low
brentuximab vedotin,"exercise caution with grapefruit products. grapefruit inhibits cyp3a4 metabolism, which may increase the serum concentration of monomethyl auristatin e (mmae), the antitumor component of brentuximab vedotin.",Moderate
brentuximab vedotin,"exercise caution with st. john's wort. this herb induces cyp3a4 metabolism, which may reduce the serum concentration of monomethyl auristatin e (mmae), the antitumor component of brentuximab vedotin.",Moderate
gabapentin enacarbil,take with or without food.,Low
boceprevir,"take with or without food. food decreases drug exposure, but not to a clinically significant extent.",Low
fidaxomicin,take with or without food. high-fat meal decreases the cmax of fidaxomicin and its metabolite in a clinically insignificant way.,Low
cabozantinib,"avoid grapefruit products. grapefruit inhibits cyp3a4 metabolism, which may increase levels of cabozantinib.",High
cabozantinib,"avoid st. john's wort. this herb induces cyp3a4 metabolism, which may reduce serum levels of cabozantinib.",High
cabozantinib,take on an empty stomach. separate the administration of cabozantinib from food by at least 1 hour before or 2 hours after eating.,Low
cabozantinib,take with a full glass of water.,Low
taliglucerase alfa,take with or without food.,Low
ruxolitinib,"avoid grapefruit products. grapefruit inhibits cyp3a4 metabolism, which may increase the serum concentration of ruxolitinib.",High
